TAG,FR,EN,DE,IT,ES,TR
"Details we have about the crop. Updated on a bi-monhtly basis.","Culture détaillée dont nous disposons dans le RPG.","Details we have about the crop. Updated on a bi-monhtly basis.","Details, die uns über die Ernte vorliegen. Zweimonatliche Aktualisierung.","Dettagli che abbiamo sulla coltura. Aggiornati su base bimestrale.","Detalles que tenemos sobre el cultivo. Actualización bimensual.","Ürün hakkında sahip olduğumuz ayrıntılar. İki ayda bir güncellenir."
"Predictive yield of the parcel for the crop. Updated on a weekly basis during campaign. For past campaigns, our predictions are corrected with public data.","Rendement prévisionnel de la parcelle pour la culture. Mise à jour hebdomadaire en campagne. Pour les campagnes précédentes, nos prévisions sont corrigées avec les données publiques.","Predictive yield of the field for the crop. Updated on a weekly basis during campaign. For past campaigns, our predictions are corrected with public data.","Voraussichtlicher Ernte der Parzelle für die Ernte. Wird während der Kampagne wöchentlich aktualisiert. Für vergangene Kampagnen werden unsere Vorhersagen mit öffentlichen Daten korrigiert.","Rendimento previsionale dell'appezzamento per la coltura. Aggiornato settimanalmente durante la campagna. Per le campagne passate, le nostre previsioni sono corrette con i dati pubblici.","Predicción del rendimiento de la parcela para el cultivo. Actualizado semanalmente durante la campaña. Para campañas pasadas, nuestras predicciones se corrigen con datos públicos.","Ürün için tarlanın tahmini verimi. Kampanya sırasında haftalık olarak güncellenir. Geçmiş kampanyalar için tahminlerimiz kamuya açık verilerle düzeltilir."
"Observed accumulative temperature, source: Meteoblue. Updated on a weekly basis.","Cumuls de température, source : meteoblue. Mise à jour hebdomadaire.","Observed accumulative temperature, source: Meteoblue. Updated on a weekly basis.","Beobachtete akkumulierte Temperatur, Quelle: Meteoblue. Wöchentlich aktualisiert.","Temperatura cumulativa osservata, fonte: Meteoblue. Aggiornato su base settimanale.","Temperatura acumulada observada, fuente: Meteoblue. Actualización semanal.","Gözlemlenen kümülatif sıcaklık"
"Observed accumulative rainfalls, source: Meteoblue. Updated on a weekly basis.","Cumuls de pluie, source : meteoblue. Mise à jour hebdomadaire.","Observed accumulative rainfalls. Updated on a weekly basis.","Beobachtete akkumulierte Regenfälle, Quelle: Meteoblue. Wöchentliche Aktualisierung.","Precipitazioni cumulate osservate, fonte: Meteoblue: Meteoblue. Aggiornato su base settimanale.","Precipitaciones acumuladas observadas, fuente: Meteoblue. Actualización semanal.","Gözlemlenen kümülatif yağışlar. Haftalık olarak güncellenir."
"Soil type we get from LUCAS database.","Type de sol, source : base de données LUCAS.","Soil type we get from LUCAS database.","Bodenart, die wir aus der LUCAS-Datenbank beziehen.","Tipo di suolo ricavato dal database LUCAS.","Tipo de suelo que obtenemos de la base de datos LUCAS.","Toprak tipini LUCAS veritabanından alırız."
"Parcel I3P.","I3P de la parcelle.","Field I3P.","Parzelle I3P.","Parcella I3P.","Parcela I3P.","Tarla I3P."
"Observed irrigation of the parcel (not real time data).","Irrigation observée de la parcelle (pas en temps réel).","Observed irrigation of the field (not real time data).","Beobachtete Bewässerung der Parzelle (keine Echtzeitdaten).","Irrigazione osservata della parcella (dati non in tempo reale).","Riego observado de la parcela (datos no en tiempo real).","Tarlanın gözlemlenen sulama verileri (gerçek zamanlı veri değil)."
"Observed hydric stress of the parcel (not real time data).","Stress hydrique observé sur la parcelle (pas en temps réel).","Observed hydric stress of the field (not real time data).","Beobachtete hydrische Belastung der Parzelle (keine Echtzeitdaten).","Stress idrico osservato della parcella (dati non in tempo reale).","Estrés hídrico observado en la parcela (datos no en tiempo real).","Tarlanın gözlemlenen hidrik stresi (gerçek zamanlı veri değil)."
"Closest silo parcel defined, defined as a driving distance.","Silo le plus proche de la parcelle, définie en distance par la route.","Closest silo field defined, defined as a driving distance.","Definition der nächstgelegenen Siloparzelle, definiert als Fahrstrecke.","Parcella più vicina al silo, definita come distanza in auto.","Parcela de silo más cercana, definida como distancia en coche.","Tanımlanan en yakın silo alanı"
"Parcel phenology stage.","Stade phénologique de la parcelle.","Field phenology stage.","Phänologisches Stadium der Parzelle.","Stadio fenologico della parcella.","Estado fenológico de la parcela.","Tarla fenolojisi aşaması."
"Parcel area.","Surface de la parcelle.","Field area.","Parzellenfläche.","Area della parcella.","Superficie de la parcela.","Tarla alanı."
"Crop surface multiplied by yield.","Surface de la culture multipliée par le rendement.","Crop surface multiplied by yield.","Anbaufläche multipliziert mit dem Ernte.","Superficie del raccolto moltiplicata per la resa.","Superficie de cultivo multiplicada por rendimiento.","Mahsul yüzeyi verimle çarpılır."
"Parcel municipality location.","Commune de la parcelle.","Field municipality location.","Standort der Parzellengemeinde.","Ubicazione del comune della parcella.","Localización del municipio de la parcela.","Tarla belediyesi konumu."
"Hyperplan confidence score for crop prediction.","Score de confiance Hyperplan pour la prédiction des cultures.","Hyperplan confidence score for crop prediction.","Hyperplan-Konfidenzwert für die Erntevorhersage.","Punteggio di fiducia Hyperplan per la previsione delle colture.","Puntuación de confianza de Hyperplan para la predicción de cultivos.","Mahsul tahmini için hiperplan güven puanı."
"Regions","Régions","Regions","Regionen","Regioni","CCAA","Şehir"
"I want to filter on parcels...","Je veux filtrer les parcelles...","I want to filter on fields...","Ich möchte nach Flurstücken filtern...","Voglio filtrare le parcelle...","Quiero filtrar por parcelas...","Tarlalarda filtreleme yapmak istiyorum..."
"Custom selection","Sélection personnalisée","Custom selection","Benutzerdefinierte Auswahl","Selezione personalizzata","Selección personalizada","Özel seçim"
"Surface * Yield. Market shares are not taken into account. Updated every Tuesday.","Surface x rendement. Les parts de marché ne sont pas prises en compte. Mise à jour tous les mardis.","Surface * Yield. Market shares are not taken into account. Updated every Tuesday","Fläche * Ernte. Die Marktanteile werden nicht berücksichtigt. Wird jeden Dienstag aktualisiert.","Fläsche * Rendimento. Le quote di mercato non sono prese in considerazione. Aggiornato ogni martedì.","Superficie * Rendimiento. No se tienen en cuenta las cuotas de mercado. Actualizado todos los martes.","Yüzey * Verim. Pazar payları dikkate alınmaz. Her Salı güncellenir"
"Low","Faible","Low","Niedrig","Basso","Bajo","Düşük"
"High","Elevé","High","Hoch","Alto","Alta","Yüksek"
"Medium","Moyen","Medium","Mittel","Medio","Media","Orta"
"Clay","Argile","Clay","Lehm","Argilla","Arcilla","Kil"
"Clay loam","Limon argileux","Clay loam","Lehmboden","Terreno argilloso","Franco arcilloso","Kil tın"
"Loam","Limon","Loam","Lehm","Limo","Marga","Tın"
"Sandy loam","Limon sableux","Sandy loam","Sandiger Lehm","Terreno sabbioso","Franco arenoso","Kumlu tın"
"Silt loam","Limon très fin","Silt loam","Schluffiger Lehm","Limo molto fine","Franco limoso","Silt tın"
"Silty clay loam","Limon argileux fin","Silty clay loam","Schluffiger Tonlehm","Limo argilloso","Franco arcilloso limoso","Siltli kil tın"
"Silty clay","Argile limoneuse","Silty clay","Schluffiger Ton","Argilla limacciosa","Arcilla limosa","Siltli kil"
"Sand","Sable","Sand","Sand","Sabbia","Arena","Kum"
"Loamy sand","Sable limoneux","Loamy sand","Lehmiger Sand","Sabbia limosa","Arena limosa","Tınlı kum"
"Silt","Limon fin","Silt","Schlick","Limo fine","Limo","Silt"
"Sandy clay loam","Limon argilo-sableux","Sandy clay loam","Sandiger lehmiger Lehm","Terreno argilloso sabbioso","Franco arcilloso arenoso","Kumlu kil tın"
"Sandy clay","Argile sableuse","Sandy clay","Sandiger Lehm","Argilla sabbiosa","Arcillo arenoso","Kumlu kil"
"Irrigated","Irriguée","Irrigated","Bewässert","Irrigato","De regadío","Sulanmış"
"Not irrigated","Non irriguée","Not irrigated","Unbewässert","Non irrigato","Sin regar","Sulanmamış"
"Sandy clay","Argile sableuse","Sandy clay","Sandiger Lehm","Argilla sabbiosa","Arcillo arenoso","Kumlu kil"
"Mean","Moyenne","Mean","Mittelwert","Significato","Media","Ortalama"
"other","autre | autres","other | others","andere | andere","altri | altri","otros | otros","diğer | diğerleri"
"Total of","Ensemble des","Total of","Summe der","Totale di","Total de","Toplam"
"Question ?","Une question ?","Any questions?","Eine Frage?","Una domanda?","¿Alguna pregunta?","Herhangi bir sorunuz var mı?"
"Location","Localisation","Location","Standort","Località","Ubicación","Konum"
"Postal codes","Codes postaux","Postal codes","Postleitzahlen","Codici postali","Códigos postales","Posta kodları"
"Evolution","Évolution","Evolution","Entwicklung","Evoluzione","Evolución","Evrim"
"evolution","évolution","evolution","Entwicklung","evoluzione","evolución","evrim"
"Farms","Exploitations","Farms","Betriebe","Aziende agricole","Explotaciones","Çiftlikler"
"Penetration rate","Taux de pénétration","Penetration rate","Durchdringungsrate","Tasso di penetrazione","Tasa de penetración","Nüfuz oranı"
"Add a colleague","Inviter un collaborateur","Add a colleague","Einen Kollegen hinzufügen","Aggiungi un collega","Añadir un colega","Bir meslektaş ekle"
"User edition","Modification d'un utilisateur","User edition","Benutzer-Edition","Edizione utente","Edición de usuarios","Kullanıcı sürümü"
"This feature allows limiting the accessible territory across the entire application","Cette fonctionnalité permet de limiter le territoire accessible pour cet utilisateur, et ce à travers toute l'application.","This feature allows limiting the accessible territory across the entire application","Mit dieser Funktion kann das zugängliche Gebiet auf die gesamte Anwendung beschränkt werden.","Questa funzione consente di limitare il territorio accessibile all'intera applicazione.","Esta función permite limitar el territorio accesible en toda la aplicación","Bu özellik"
"The user will also have access to all administrative subdivisions included within their territory","L'utilisateur aura également accès à toutes les zones (administratives ou non) incluses dans son territoire.","The user will also have access to all administrative subdivisions included within their territory","Der Benutzer hat auch Zugang zu allen administrativen Unterteilungen, die in seinem Gebiet enthalten sind","L'utente avrà accesso anche a tutte le suddivisioni amministrative incluse nel suo territorio.","El usuario también tendrá acceso a todas las subdivisiones administrativas incluidas en su territorio","Kullanıcı ayrıca kendi bölgesi içinde yer alan tüm idari bölümlere erişebilir"
"Customizable tag with parcel data.","Champ libre pour étiqueter une parcelle.","Customizable tag with field data.","Anpassbarer Tag mit Parzellendaten.","Tag personalizzabile con i dati delle parcelle.","Etiqueta personalizable con los datos de la parcela.","Tarla verileriyle özelleştirilebilir etiket."
"Parcel Area.","Surface de la parcelle.","Field Area.","Parzellengebiet.","Area della parcella.","Área de parcela.","Tarla Alanı."
"Parcel farm.","Exploitation rattachée à la parcelle.","Field farm.","Parzellenhof.","Azienda agricola.","Explotación parcelaria.","Tarla çiftliği."
"Vegetation index retrieved by satellite. Updated on a weekly basis.","Indice de végétation obtenu par satellite. Mis à jour de manière hebdomadaire.","Vegetation index retrieved by satellite. Updated on a weekly basis.","Vegetationsindex, abgerufen über Satellit. Wöchentlich aktualisiert.","Indice di vegetazione recuperato da satellite. Aggiornato su base settimanale.","Índice de vegetación obtenido por satélite. Actualización semanal.","Uydudan alınan bitki örtüsü endeksi. Haftalık olarak güncellenir."
"Predicted or satellite detected crop for ongoing and next campaign. Updated on a monthly basis. For past campaigns,  our predictions are corrected with public data.","Culture détectée ou prédite. Mise à jour une fois par mois. Pour les campagnes passées, nos données sont corrigées avec les données publiques.","Predicted or satellite detected crop for ongoing and next campaign. Updated on a bi-monthly basis.For past campaigns,  our predictions are corrected with public data.","Vorausgesagte oder per Satellit erfasste Ernte für die laufende und die nächste Kampagne. Für vergangene Kampagnen werden unsere Vorhersagen mit öffentlichen Daten korrigiert.","Coltura prevista o rilevata dal satellite per la campagna in corso e per quella successiva. Per le campagne passate, le nostre previsioni sono corrette con i dati pubblici.","Cultivo predicho o detectado por satélite para la campaña en curso y la siguiente. Para campañas pasadas, nuestras predicciones se corrigen con datos públicos.","Devam eden ve bir sonraki kampanya için tahmin edilen veya uydudan tespit edilen ürün. İki ayda bir güncellenir.Geçmiş kampanyalar için tahminlerimiz kamuya açık verilerle düzeltilir."
